item_id,folder,broker,title,keywords,match_score,remote_path,local_path,status,note,top_candidates
11,02_高频量价与短周期因子,光大证券,多因子系列报告之二十四 短周期因子的挖掘与组合构建,多因子系列报告之二十四 短周期因子的挖掘与组合构建|多因子系列报告之二十四|短周期因子的挖掘与组合构建,12.5075,/mnt/research/研报/光大证券/20190804-光大证券-多因子系列报告之二十四：短周期因子的挖掘与组合构建.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20190804-光大证券-多因子系列报告之二十四_短周期因子的挖掘与组合构建.pdf,copied,,20190804-光大证券-多因子系列报告之二十四：短周期因子的挖掘与组合构建.pdf (12.51) || 20190908-光大证券-多因子系列报告之二十五：结合短周期因子的指数增强实证.pdf (4.76) || 20170428-光大证券-多因子系列报告之二：因子测试全集.pdf (4.55)
12,02_高频量价与短周期因子,光大证券,结合短周期因子的指数增强实证,结合短周期因子的指数增强实证,6.8621,/mnt/research/研报/光大证券/20190908-光大证券-多因子系列报告之二十五：结合短周期因子的指数增强实证.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20190908-光大证券-多因子系列报告之二十五_结合短周期因子的指数增强实证.pdf,copied,,20190908-光大证券-多因子系列报告之二十五：结合短周期因子的指数增强实证.pdf (6.86) || 20190804-光大证券-多因子系列报告之二十四：短周期因子的挖掘与组合构建.pdf (4.05) || 20240225-光大证券-量化组合跟踪周报：残差波动率因子亮眼，量化组合超额显著.pdf (3.83)
13,02_高频量价与短周期因子,广发证券,高频数据因子研究系列一 基于日内高频数据的短周期选股因子研究,高频数据因子研究系列一 基于日内高频数据的短周期选股因子研究|高频数据因子研究系列一|基于日内高频数据的短周期选股因子研究,12.5714,/mnt/research/研报/广发证券/20190506-广发证券-高频数据因子研究系列一：基于日内高频数据的短周期选股因子研究.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20190506-广发证券-高频数据因子研究系列一_基于日内高频数据的短周期选股因子研究.pdf,copied,,20190506-广发证券-高频数据因子研究系列一：基于日内高频数据的短周期选股因子研究.pdf (12.57) || 20190815-广发证券-高频数据因子研究系列二：基于日内高频数据的短周期选股因子研究.pdf (8.26) || 20200505-广发证券-高频数据因子研究系列三：基于个股羊群效应的选股因子研究.pdf (4.86)
14,02_高频量价与短周期因子,广发证券,高频数据因子研究系列二 基于日内高频数据的短周期选股因子研究,高频数据因子研究系列二 基于日内高频数据的短周期选股因子研究|高频数据因子研究系列二|基于日内高频数据的短周期选股因子研究,12.5714,/mnt/research/研报/广发证券/20190815-广发证券-高频数据因子研究系列二：基于日内高频数据的短周期选股因子研究.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20190815-广发证券-高频数据因子研究系列二_基于日内高频数据的短周期选股因子研究.pdf,copied,,20190815-广发证券-高频数据因子研究系列二：基于日内高频数据的短周期选股因子研究.pdf (12.57) || 20190506-广发证券-高频数据因子研究系列一：基于日内高频数据的短周期选股因子研究.pdf (8.26) || 20200505-广发证券-高频数据因子研究系列三：基于个股羊群效应的选股因子研究.pdf (4.86)
15,02_高频量价与短周期因子,国泰君安,基于短周期价量特征的多因子选股体系,基于短周期价量特征的多因子选股体系,7.3774,/mnt/research/研报/国泰君安/20170607-国泰君安-基于短周期价量特征的多因子选股体系.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20170607-国泰君安-基于短周期价量特征的多因子选股体系.pdf,copied,,20170607-国泰君安-基于短周期价量特征的多因子选股体系.pdf (7.38) || 20170615-国泰君安-数量化专题之九十三：基于短周期价量特征的多因子选股体系.pdf (7.03) || 20180310-国泰君安-数量化专题之一百零八：基于不同域研究的多因子选股体系.pdf (4.38)
16,02_高频量价与短周期因子,东吴证券,高频价量相关性 意想不到的选股因子,高频价量相关性 意想不到的选股因子|高频价量相关性|意想不到的选股因子,11.8182,/mnt/research/研报/东吴证券/20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf,"C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20200223-东吴证券-“技术分析拥抱选股因子”系列研究(一)_高频价量相关性,意想不到的选股因子.pdf",copied,,20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf (11.82) || 20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf (4.03) || 20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf (4.00)
17,02_高频量价与短周期因子,东吴证券,新价量相关性RPV选股因子 相关性是价量配合最好的尺,新价量相关性RPV选股因子 相关性是价量配合最好的尺|新价量相关性RPV选股因子|相关性是价量配合最好的尺,12.0471,/mnt/research/研报/东吴证券/20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf,"C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20221011-东吴证券-“技术分析拥抱选股因子”系列研究(十一)_新价量相关性RPV选股因子,相关性是价量配合最好的尺.pdf",copied,,20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf (12.05) || 20200223-东吴证券-“技术分析拥抱选股因子”系列研究（一）：高频价量相关性，意想不到的选股因子.pdf (4.04) || 20230927-东吴证券-“技术分析拥抱选股因子”系列研究（十四）：RPV聪明版-聪明换手率是更好的配料.pdf (3.86)
18,02_高频量价与短周期因子,海通证券,日内分时成交中的玄机,日内分时成交中的玄机,6.6800,/mnt/research/研报/海通证券/20190416-海通证券-选股因子系列研究（四十六）：日内分时成交中的玄机.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20190416-海通证券-选股因子系列研究(四十六)_日内分时成交中的玄机.pdf,copied,,20190416-海通证券-选股因子系列研究（四十六）：日内分时成交中的玄机.pdf (6.68) || 海通证券 他山之石.pdf (3.96) || 20221024-海通证券-选股因子系列研究（八十五）：买卖单主动成交中的隐藏信息.pdf (3.91)
19,02_高频量价与短周期因子,海通证券,价量波动幅度,价量波动幅度,6.4286,/mnt/research/研报/海通证券/20190924-海通证券-选股因子系列研究（五十五）：价量波动幅度.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20190924-海通证券-选股因子系列研究(五十五)_价量波动幅度.pdf,copied,,20190924-海通证券-选股因子系列研究（五十五）：价量波动幅度.pdf (6.43) || 海通证券 他山之石.pdf (4.14) || 20171016-海通证券-量化研究新思维（四）：动量崩溃.pdf (3.97)
20,02_高频量价与短周期因子,开源证券,独家量价因子的高频测试,独家量价因子的高频测试,6.8367,/mnt/research/研报/开源证券/20210924-开源证券-开源量化评论（36）：独家量价因子的高频测试.pdf,C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20210924-开源证券-开源量化评论(36)_独家量价因子的高频测试.pdf,copied,,20210924-开源证券-开源量化评论（36）：独家量价因子的高频测试.pdf (6.84) || 20230618-开源证券-量化评论（76）：股东户数因子的深挖和改进.pdf (4.00) || 20201015-开源证券-开源量化评论（9）：长端动量因子与基本面更兼容.pdf (3.84)
21,02_高频量价与短周期因子,开源证券,日内分钟收益率的时序特征,日内分钟收益率的时序特征,6.5000,/mnt/research/研报/开源证券/20221225-开源证券-市场微观结构研究系列（19）：日内分钟收益率的时序特征，逻辑讨论与因子增强.pdf,"C:\Users\13477\Desktop\量化研报阅读计划\02_高频量价与短周期因子\20221225-开源证券-市场微观结构研究系列(19)_日内分钟收益率的时序特征,逻辑讨论与因子增强.pdf",copied,,20221225-开源证券-市场微观结构研究系列（19）：日内分钟收益率的时序特征，逻辑讨论与因子增强.pdf (6.50) || 20221203-开源证券-市场微观结构研究系列（17）：日内极端收益前后的反转特性与因子构建.pdf (3.98) || 20230618-开源证券-量化评论（76）：股东户数因子的深挖和改进.pdf (3.61)
22,03_盘口订单簿与大单资金流,海通证券,Level2 行情选股因子初探,Level2 行情选股因子初探|Level2|行情选股因子初探,11.8947,/mnt/research/研报/海通证券/20160606-海通证券-选股因子系列研究(十一)——Level2 行情选股因子初探.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20160606-海通证券-选股因子系列研究(十一)——Level2 行情选股因子初探.pdf,copied,,20160606-海通证券-选股因子系列研究(十一)——Level2 行情选股因子初探.pdf (11.89) || 20160627-海通证券-选股因子系列研究(十二)——“量”与“价”.pdf (4.04) || 20170407-海通证券-量化研究新思维（一）：对选股因子择时.pdf (4.00)
23,03_盘口订单簿与大单资金流,天风证券,订单簿上的alpha,订单簿上的alpha,6.6471,/mnt/research/研报/天风证券/20190905-天风证券-市场微观结构探析系列之二：订单簿上的alpha.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20190905-天风证券-市场微观结构探析系列之二_订单簿上的alpha.pdf,copied,,20190905-天风证券-市场微观结构探析系列之二：订单簿上的alpha.pdf (6.65) || 20170621-天风证券-因子的事件化研究.pdf (3.97) || 20190327-天风证券-金工专题报告：A股公司治理类因子解析.pdf (3.78)
24,03_盘口订单簿与大单资金流,东吴证券,订单簿的温度 反转因子的精细结构,订单簿的温度 反转因子的精细结构|订单簿的温度|反转因子的精细结构,10.7111,/mnt/research/研报/东吴证券/20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20181213-东吴证券-“订单簿的温度”系列研究(一)_反转因子的精细结构.pdf,copied,,20181213-东吴证券-“订单簿的温度”系列研究（一）：反转因子的精细结构.pdf (10.71) || 20190906-东吴证券-成交量对动量因子的修正：日与夜的殊途同归.pdf (3.79) || 20220817-东吴证券-金工专题报告：成交价改进换手率因子.pdf (3.72)
25,03_盘口订单簿与大单资金流,中信建投,多层次订单失衡及订单斜率因子,多层次订单失衡及订单斜率因子,6.9636,/mnt/research/研报/中信建投/20210707-中信建投-因子深度研究系列：多层次订单失衡及订单斜率因子.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20210707-中信建投-因子深度研究系列_多层次订单失衡及订单斜率因子.pdf,copied,,20210707-中信建投-因子深度研究系列：多层次订单失衡及订单斜率因子.pdf (6.96) || 20171204-中信建投-多因子跟踪月报：成长因子卷土重来，换手率因子继续蝉联（2017年12月）.pdf (3.74) || 20170203-中信建投-多因子跟踪月报：估值因子和换手率因子保持强势，基本面因子延续弱势（2017年2月）.pdf (3.69)
26,03_盘口订单簿与大单资金流,国金证券,弹性与投资者耐心 基于高频订单簿的斜率凸性因子,弹性与投资者耐心 基于高频订单簿的斜率凸性因子|弹性与投资者耐心|基于高频订单簿的斜率凸性因子,12.1081,/mnt/research/研报/国金证券/20230626-国金证券-Alpha掘金系列之六：弹性与投资者耐心，基于高频订单簿的斜率凸性因子.pdf,"C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20230626-国金证券-Alpha掘金系列之六_弹性与投资者耐心,基于高频订单簿的斜率凸性因子.pdf",copied,,20230626-国金证券-Alpha掘金系列之六：弹性与投资者耐心，基于高频订单簿的斜率凸性因子.pdf (12.11) || 20221118-国金证券-金融工程专题报告：Alpha掘金系列之二，基于高频快照数据的量价背离选股因子.pdf (3.86) || 20230227-国金证券-Alpha掘金系列之四：基于逐笔成交数据的遗憾规避因子.pdf (3.81)
27,03_盘口订单簿与大单资金流,海通证券,买卖单数据中的Alpha,买卖单数据中的Alpha,6.7778,/mnt/research/研报/海通证券/20191107-海通证券-选股因子系列研究（五十六）：买卖单数据中的Alpha.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20191107-海通证券-选股因子系列研究(五十六)_买卖单数据中的Alpha.pdf,copied,,20191107-海通证券-选股因子系列研究（五十六）：买卖单数据中的Alpha.pdf (6.78) || 海通证券 他山之石.pdf (4.11) || 20221024-海通证券-选股因子系列研究（八十五）：买卖单主动成交中的隐藏信息.pdf (4.09)
28,03_盘口订单簿与大单资金流,海通证券,基于主动买入行为的选股因子,基于主动买入行为的选股因子,6.8214,/mnt/research/研报/海通证券/20200112-海通证券-选股因子系列研究（五十七）：基于主动买入行为的选股因子.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20200112-海通证券-选股因子系列研究(五十七)_基于主动买入行为的选股因子.pdf,copied,,20200112-海通证券-选股因子系列研究（五十七）：基于主动买入行为的选股因子.pdf (6.82) || 20160627-海通证券-选股因子系列研究(十二)——“量”与“价”.pdf (4.07) || 20170407-海通证券-量化研究新思维（一）：对选股因子择时.pdf (4.02)
29,03_盘口订单簿与大单资金流,海通证券,知情交易与主买主卖,知情交易与主买主卖,6.6250,/mnt/research/研报/海通证券/20200214-海通证券-选股因子系列研究（五十八）：知情交易与主买主卖.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20200214-海通证券-选股因子系列研究(五十八)_知情交易与主买主卖.pdf,copied,,20200214-海通证券-选股因子系列研究（五十八）：知情交易与主买主卖.pdf (6.62) || 海通证券 他山之石.pdf (4.00) || 20141014-海通证券-他山之石.pdf (3.75)
30,03_盘口订单簿与大单资金流,海通证券,基于逐笔成交数据的高频因子梳理,基于逐笔成交数据的高频因子梳理,6.9000,/mnt/research/研报/海通证券/20200223-海通证券-选股因子系列研究（五十九）：基于逐笔成交数据的高频因子梳理.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20200223-海通证券-选股因子系列研究(五十九)_基于逐笔成交数据的高频因子梳理.pdf,copied,,20200223-海通证券-选股因子系列研究（五十九）：基于逐笔成交数据的高频因子梳理.pdf (6.90) || 20151224-海通证券-选股因子研究系列（十）：基于波段划分的动态反转因子.pdf (3.96) || 20200112-海通证券-选股因子系列研究（五十七）：基于主动买入行为的选股因子.pdf (3.93)
31,03_盘口订单簿与大单资金流,海通证券,大单的精细化处理与大单因子重构,大单的精细化处理与大单因子重构,6.9000,/mnt/research/研报/海通证券/20210120-海通证券-选股因子系列研究（七十二）：大单的精细化处理与大单因子重构.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20210120-海通证券-选股因子系列研究(七十二)_大单的精细化处理与大单因子重构.pdf,copied,,20210120-海通证券-选股因子系列研究（七十二）：大单的精细化处理与大单因子重构.pdf (6.90) || 20170423-海通证券-多因子跟踪周报.pdf (3.88) || 20170407-海通证券-量化研究新思维（一）：对选股因子择时.pdf (3.86)
32,03_盘口订单簿与大单资金流,东方证券,基于大单的alpha因子构建,基于大单的alpha因子构建,6.8947,/mnt/research/研报/东方证券/20211027-东方证券-因子选股系列之七十九：基于大单的alpha因子构建.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20211027-东方证券-因子选股系列之七十九_基于大单的alpha因子构建.pdf,copied,,20211027-东方证券-因子选股系列之七十九：基于大单的alpha因子构建.pdf (6.89) || 20210722-东方证券-因子选股系列之七十六：基于委托订单数据的alpha因子.pdf (4.53) || 20160812-东方证券-《因子选股系列研究之十》：Alpha因子库精简与优化.pdf (4.18)
33,03_盘口订单簿与大单资金流,国信证券,基于主动买卖特征的高频订单因子改进,基于主动买卖特征的高频订单因子改进,7.0656,/mnt/research/研报/国信证券/20240816-国信证券-金融工程专题研究：基于主动买卖特征的高频订单因子改进.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20240816-国信证券-金融工程专题研究_基于主动买卖特征的高频订单因子改进.pdf,copied,,20240816-国信证券-金融工程专题研究：基于主动买卖特征的高频订单因子改进.pdf (7.07) || 20110530-国信证券-基于基本面先行因子的行业配置模型优化及其应用.pdf (3.83) || 20131016-国信证券-基于一致预期数据的量化选股模型.pdf (3.82)
34,03_盘口订单簿与大单资金流,开源证券,大小单重定标与资金流因子改进,大小单重定标与资金流因子改进,6.8305,/mnt/research/研报/开源证券/20220904-开源证券-市场微观结构研究系列（16）：大小单重定标与资金流因子改进.pdf,C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20220904-开源证券-市场微观结构研究系列(16)_大小单重定标与资金流因子改进.pdf,copied,,20220904-开源证券-市场微观结构研究系列（16）：大小单重定标与资金流因子改进.pdf (6.83) || 20230618-开源证券-量化评论（76）：股东户数因子的深挖和改进.pdf (3.94) || 20210924-开源证券-开源量化评论（36）：独家量价因子的高频测试.pdf (3.69)
35,03_盘口订单簿与大单资金流,开源证券,新型因子 资金流动力学与散户羊群效应,新型因子 资金流动力学与散户羊群效应|新型因子|资金流动力学与散户羊群效应,11.9385,/mnt/research/研报/开源证券/20220602-开源证券-市场微观结构研究系列（14）：新型因子，资金流动力学与散户羊群效应.pdf,"C:\Users\13477\Desktop\量化研报阅读计划\03_盘口订单簿与大单资金流\20220602-开源证券-市场微观结构研究系列(14)_新型因子,资金流动力学与散户羊群效应.pdf",copied,,20220602-开源证券-市场微观结构研究系列（14）：新型因子，资金流动力学与散户羊群效应.pdf (11.94) || 20201015-开源证券-开源量化评论（9）：长端动量因子与基本面更兼容.pdf (3.75) || 20220904-开源证券-市场微观结构研究系列（16）：大小单重定标与资金流因子改进.pdf (3.68)
36,04_因子评价后处理与组合构建,光大证券,多因子研究系列 因子回溯测试的总体框架,多因子研究系列 因子回溯测试的总体框架|多因子研究系列|因子回溯测试的总体框架,11.0495,/mnt/research/研报/光大证券/20120822-光大证券-多因子研究系列(一)：因子回溯测试的总体框架.pdf,C:\Users\13477\Desktop\量化研报阅读计划\04_因子评价后处理与组合构建\20120822-光大证券-多因子研究系列(一)_因子回溯测试的总体框架.pdf,copied,,20120822-光大证券-多因子研究系列(一)：因子回溯测试的总体框架.pdf (11.05) || 20120911-光大证券-多因子研究系列(二)：价值类因子测试.pdf (6.73) || 20120911-光大证券-多因子研究系列(三)：成长类因子测试.pdf (6.73)
37,04_因子评价后处理与组合构建,光大证券,多因子系列报告之二 因子测试全集,多因子系列报告之二 因子测试全集|多因子系列报告之二|因子测试全集,12.3265,/mnt/research/研报/光大证券/20170428-光大证券-多因子系列报告之二：因子测试全集.pdf,C:\Users\13477\Desktop\量化研报阅读计划\04_因子评价后处理与组合构建\20170428-光大证券-多因子系列报告之二_因子测试全集.pdf,copied,,20170428-光大证券-多因子系列报告之二：因子测试全集.pdf (12.33) || 20191018-光大证券-多因子系列报告之二十六：创新基本面因子，财务数据全扫描.pdf (6.63) || 20190804-光大证券-多因子系列报告之二十四：短周期因子的挖掘与组合构建.pdf (6.55)
38,04_因子评价后处理与组合构建,天风证券,如何刻画因子对收益的真实预测效果,如何刻画因子对收益的真实预测效果,7.1053,/mnt/research/研报/天风证券/20190925-天风证券-金工专题报告：如何刻画因子对收益的真实预测效果.pdf,C:\Users\13477\Desktop\量化研报阅读计划\04_因子评价后处理与组合构建\20190925-天风证券-金工专题报告_如何刻画因子对收益的真实预测效果.pdf,copied,,20190925-天风证券-金工专题报告：如何刻画因子对收益的真实预测效果.pdf (7.11) || 20170621-天风证券-因子的事件化研究.pdf (3.98) || 20170815-天风证券-MHKQ因子择时模型在A股中的应用.pdf (3.81)
39,04_因子评价后处理与组合构建,国泰君安,如何将阿尔法因子转化为超额收益,如何将阿尔法因子转化为超额收益,6.9322,/mnt/research/研报/国泰君安/20160301-国泰君安-数量化专题之六十八：如何将阿尔法因子转化为超额收益（上）.pdf,C:\Users\13477\Desktop\量化研报阅读计划\04_因子评价后处理与组合构建\20160301-国泰君安-数量化专题之六十八_如何将阿尔法因子转化为超额收益(上).pdf,copied,,20160301-国泰君安-数量化专题之六十八：如何将阿尔法因子转化为超额收益（上）.pdf (6.93) || 20220223-国泰君安-精品文献解读系列（二十六）：如何衡量观测因子拥挤度.pdf (3.86) || 20210416-国泰君安-AI投资方法论：从多因子到多信号.pdf (3.86)
